Ad ID,Car Name,Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location,Description,Car Features,Images URL's,Car Profile,Formatted Car Name
1080125520,Suzuki ravi,Suzuki,Ravi,2018,95000,1300000,Petrol,Karachi,Original,Local,Manual,Used,"Kahuta, Rawalpindi",Suzuki ravi 2018 col ,AM/FM Radio,['https://images.olx.com.pk/thumbnails/410250495-800x600.jpeg'],https://www.olx.com.pk/item/suzuki-ravi-iid-1080125520,
1076081635,Diahatsu Move 2013,Daihatsu,Move,2013,94000,2155000,Petrol,Lahore,Original,Imported,Automatic,Used,"New Amir Town, Lahore","Move Push start 
Home Used car. 
Model 2013. 
Registered in 2015. 
All origina documents with smart card. 
Total Geniune few touch ups. 
Never been into any major accident.","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows","['https://images.olx.com.pk/thumbnails/386533756-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533752-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533754-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533757-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533759-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533760-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533762-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533763-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/386533765-800x600.jpeg']",https://www.olx.com.pk/item/diahatsu-move-2013-iid-1076081635,Diahatsu Move 2013
1080333426,Daihatsu Mira,Daihatsu,Mira,2013,140000,2150000,Petrol,Karachi,Original,Imported,Automatic,Used,"North Nazimabad - Block A, Karachi",bilkul okay condition me hen engine change hen recently change karvaya hen book pe update nhe ha ,"ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Front Speakers, Power Locks, Power Steering, Power Windows, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/411496140-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496141-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496142-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496143-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496144-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496145-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496146-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496147-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496148-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496149-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496150-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411496151-800x600.jpeg']",https://www.olx.com.pk/item/daihatsu-mira-iid-1080333426,
1080792524,Suzuki Every,Suzuki,Every,2018,101628,1850000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Saddar, Rawalpindi","Suzuki Every 
Model 2012 Import 2018
Fully Genion 
White Color , New Leather Seats and Music","Air Bags, Air Conditioning, AM/FM Radio, Front Speakers, Front Camera, Power Locks, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/414217894-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414217895-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414217896-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414217897-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414217898-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414217899-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414217900-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/414217901-800x600.jpeg']",https://www.olx.com.pk/item/suzuki-every-iid-1080792524,
1080112850,Daihatau Move 2021,Daihatsu,Move,2021,6500,3499000,Petrol,Unregistered,Original,Imported,Automatic,Used,"Kot Abdul Malik, Sheikhüpura","Dhaihatsu Move 
Model 2021
import September 2023
push start
climate control
Alloy Rims. 
Radar,
seat heater
and many more
Total genuine
original milage
will be sold on nearest offer","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Cool Box, Climate Control, DVD Player, Front Speakers, Front Camera, Immobilizer Key, Power Locks, Power Steering, Power Windows, Rear AC Vents, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/411623565-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411623566-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411623567-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411623568-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411623569-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411623570-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411623571-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411623572-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411623573-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411623574-800x600.jpeg']",https://www.olx.com.pk/item/daihatau-move-2021-iid-1080112850,Daihatau Move 2021
1080080862,Suzuki bolan,Suzuki,Bolan,2015,50000,950000,Petrol,Punjab,Original,Local,Manual,Used,"Rawat Enclave, Rawalpindi","all the parts are januane
non accidental
neet and clean 
no work required",Climate Control,"['https://images.olx.com.pk/thumbnails/409986882-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409986883-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409986884-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409986885-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409986886-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409986887-800x600.jpeg']",https://www.olx.com.pk/item/suzuki-bolan-iid-1080080862,
1080709770,Karwaan Plus 2021,Changan,Karvaan,2021,27000,2250000,Petrol,Karachi,Original,Local,Manual,Used,"Gulshan-e-Maymar, Karachi","Karwaan Plus Family used never use on transport purpose. 
never go outside karachi. 
27k Km driven. 

1st owner. 

CPLC cleared all file documents available. both keys available. 
Maintained by Changan dealership zero work required. 
100% ok just like a new car. 
Complete original file is available. 
Totally driven on petrol. 
In showroom condition. 
Never been into any accident. 
All taxes paid UpTo date.","Air Conditioning, AM/FM Radio, Front Speakers, Power Locks, Power Steering, Power Windows, Rear AC Vents, Rear Camera, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/413722099-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413722100-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413722101-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413722102-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413722103-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413722104-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413722105-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413722106-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413722107-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413722108-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413722109-800x600.jpeg']",https://www.olx.com.pk/item/karwaan-plus-2021-iid-1080709770,Karwaan Plus 2021
1079115321,Suzuki Ravi,Suzuki,Ravi,2015,65000,700000,Petrol,Lahore,Original,Local,Manual,Used,"Madni Park Town, Pirmahal",cash ki jarurat hai isliye sel karni hai,Cool Box,['https://images.olx.com.pk/thumbnails/404199394-800x600.jpeg'],https://www.olx.com.pk/item/suzuki-ravi-iid-1079115321,
1080605324,Suzuki Baleno,Suzuki,Baleno,2004,249000,900000,Petrol,Karachi,Original,Imported,Manual,Used,"Motorway Chowk, Islamabad","Baleno 2004, Fit condition, Engine fit, Mechanically OK, AC & hear working, Petrol & CNG working, Smart Card Original Nmbr Plats complete Documents, my own name. . . . . . . . 
price slight flexible. . . . . . . .","AM/FM Radio, CD Player, Front Speakers, Power Steering, Power Windows, Rear speakers, Rear Camera","['https://images.olx.com.pk/thumbnails/413103576-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413103577-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413103578-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413103579-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413103580-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413103581-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413103582-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413103583-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413103584-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413103585-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/413103586-800x600.jpeg']",https://www.olx.com.pk/item/suzuki-baleno-iid-1080605324,
1080243326,Toyota Passo,Toyota,Passo,2018,80000,3750000,Petrol,Islamabad,Original,Imported,Automatic,Used,"DHA Phase 6, Lahore",Automatic car in good condition. Serious buyers only.,"ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Power Mirrors, Power Steering, Power Windows, Rear Camera, Steering Switches","['https://images.olx.com.pk/thumbnails/410983705-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410984128-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410984129-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410984130-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410984131-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410984132-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410984133-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410984134-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410984135-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410984136-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410984137-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/410984138-800x600.jpeg']",https://www.olx.com.pk/item/toyota-passo-iid-1080243326,
